Country,Year,Total Exported Value(Crops),Predicted Scaled Value,Mean Error
Georgia,2019,-0.3487952963247913,0.051698845,0.40049414120465693
Georgia,2020,-0.34435588603971473,-0.24848211,0.09587377792356483
Georgia,2021,-0.3301332780019392,-0.055806346,0.27432693176427975
Germany,2019,3.916422387174265,0.16792023,3.748502155355112
Germany,2020,4.130373769417252,-0.24217786,4.37255162836596
Germany,2021,4.601435626703651,-0.15918982,4.760625446993263
Ghana,2019,-0.27674352308831374,0.028450966,0.3051944889696614
Ghana,2020,-0.2509368788415132,-0.14596191,0.10497496835529191
Ghana,2021,-0.23024827669612566,-0.3052473,0.07499903012760481
Greece,2019,0.29861602189991865,0.037217572,0.2613984495684901
Greece,2020,0.4146202491171106,-0.24523787,0.6598581211216196
Greece,2021,0.5367150223784476,-0.117725044,0.6544400668673545
Grenada,2019,-0.388626336169563,0.1873622,0.5759885302308423
Grenada,2020,-0.38901769986204165,-0.28983417,0.09918352832845706
Grenada,2021,-0.3887839291190109,-0.18064474,0.2081391934250793
Guatemala,2019,0.18719977364442295,0.054719556,0.13248021752140468
Guatemala,2020,0.19173267135936378,-0.19748513,0.38921780536491035
Guatemala,2021,0.2461931812164395,-0.15055417,0.396747346460542
Guinea,2019,-0.3789792687856738,-0.008687168,0.3702921004259173
Guinea,2020,-0.3798649799543128,-0.26115167,0.11871330854470585
Guinea,2021,-0.3737737377617521,-0.074898824,0.2988749136660261
Guinea-Bissau,2019,-0.3702606461626025,-0.032714516,0.3375461302381488
Guinea-Bissau,2020,-0.36964078329814243,-0.25918204,0.11045874737513828
Guinea-Bissau,2021,-0.3674627350268307,-0.017620713,0.3498420225081387
Guyana,2019,-0.35627239896909463,0.025543299,0.3818156975413965
Guyana,2020,-0.33951832504271645,-0.33208293,0.0074353978156961875
Guyana,2021,-0.3487034782827739,-0.12140456,0.22729891986259265
Haiti,2019,-0.38713260863259874,0.16799419,0.5551267949147567
Haiti,2020,-0.38627899383992986,-0.14262322,0.24365577792615728
Haiti,2021,-0.38619116967150113,-0.13337208,0.2528190863651886
Honduras,2019,-0.2339993364540604,0.1758098,0.4098091370789078
Honduras,2020,-0.15768287763264516,-0.2391111,0.08142821803424022
Honduras,2021,-0.21582022619556543,-0.1021723,0.1136479259760296
Hungary,2019,0.26148693075673646,0.08679875,0.17468818089263505
Hungary,2020,0.35561149549205906,-0.1914382,0.5470496935816587
Hungary,2021,0.43409062916473695,-0.26194048,0.6960311084433014
Iceland,2019,-0.38864923551843,0.20736487,0.5960141076163991
Iceland,2020,-0.3880734267045688,-0.14049883,0.2475745948363971
Iceland,2021,-0.3875592398537812,-0.16435258,0.22320665894882058
India,2019,2.320374518204005,0.054821525,2.2655529934349374
India,2020,2.783736267602157,-0.19899438,2.9827306508180613
India,2021,3.833993762367737,-0.13214685,3.9661406125960466
Indonesia,2019,3.1794968403158332,0.13527414,3.044222698288932
Indonesia,2020,3.7544887830213916,-0.26309156,4.017580347199859
Indonesia,2021,5.845008246112198,-0.11436458,5.959372825432152
Iran (Islamic Republic of),2019,0.007624225823312105,0.0912359,0.0836116726118037
Iran (Islamic Republic of),2020,-0.005870284520532689,-0.13730988,0.13143959454402726
Iran (Islamic Republic of),2021,-0.019960147147028245,-0.21568996,0.195729809994848
Iraq,2019,-0.3287468684994804,0.02472084,0.35346770865555877
Iraq,2020,-0.372784348371454,-0.2944916,0.07829275930208757
Iraq,2021,-0.3674139208262544,-0.15517336,0.21224055952483228
Ireland,2019,0.12810533731977897,0.07579617,0.05230916529695945
Ireland,2020,0.1541837086474282,-0.3923645,0.5465482106005533
Ireland,2021,0.11838440123410314,-0.050056785,0.16844118657918067
Israel,2019,-0.14877151255166957,0.13809043,0.2868619442418856
Israel,2020,-0.15080761838459808,-0.19101045,0.04020282697177094
Israel,2021,-0.12860972029222328,-0.28456002,0.15595030444608848
Italy,2019,2.9607439171974335,0.17977946,2.7809644621317062
Italy,2020,3.3375256043284462,-0.3106652,3.6481907945483254
Italy,2021,3.811091813634443,-0.18622562,3.997317436526823
Jamaica,2019,-0.36866146838983016,0.08218114,0.4508426091702791
Jamaica,2020,-0.36735795186198605,-0.34732103,0.02003691838420285
Jamaica,2021,-0.36524573494257095,-0.09805768,0.2671880551105893
Japan,2019,-0.11781530966609252,0.08141719,0.19923249771445525
Japan,2020,-0.1094833350569201,-0.23342435,0.123941015562396
Japan,2021,-0.06337630515061406,-0.13722111,0.07384480769671413
Jordan,2019,-0.2903280965644106,0.17693973,0.4672678224402651
Jordan,2020,-0.2960929375136984,-0.24678726,0.049305672570575554
Jordan,2021,-0.2628351106056189,-0.16529487,0.09754023987140414
Kazakhstan,2019,0.003779180897948127,0.06917041,0.06539122705293002
Kazakhstan,2020,0.017825760881548594,-0.30016136,0.3179871225758845
Kazakhstan,2021,0.07283965057416966,-0.13672137,0.20956102317853978
Kenya,2019,-0.2328068872416239,0.12269802,0.35550490370633414
Kenya,2020,-0.19433728278870388,-0.23527727,0.040939982521583596
Kenya,2021,-0.18991733558181356,-0.087023646,0.102893689942394
Kiribati,2019,-0.3894516432072461,0.107537106,0.49698874888675815
Kiribati,2020,-0.3893484695649056,-0.16947548,0.2198729886507897
Kiribati,2021,-0.38910290021801425,-0.13930172,0.2498011829366727
Kuwait,2019,-0.3553799640672321,0.14237061,0.4977505754964466
Kuwait,2020,-0.36112759800654076,-0.28192925,0.07919834347468041
Kuwait,2021,-0.36623061732777007,-0.065731496,0.3004991217089499
Kyrgyzstan,2019,-0.3594036437548436,0.05377216,0.41317580267560855
Kyrgyzstan,2020,-0.36335553634416207,-0.21230853,0.15104701030503853
Kyrgyzstan,2021,-0.35329196695510384,-0.07140793,0.2818840378922605
Lao People's Democratic Republic,2019,-0.25843307510931535,0.09838165,0.35681472853739304
Lao People's Democratic Republic,2020,-0.2509798570263788,-0.25143027,0.000450416029651457
Lao People's Democratic Republic,2021,-0.23638338821194144,-0.008836225,0.2275471635367629
Latvia,2019,-0.1988766630650583,0.104222596,0.3030992587567392
Latvia,2020,-0.16600583823161974,-0.24788411,0.08187827138465986
Latvia,2021,-0.16381591951803604,-0.27867758,0.11486166322274766
Lebanon,2019,-0.32220058128357276,0.09166406,0.413864642233852
Lebanon,2020,-0.3099373436822349,-0.2507869,0.059150443161910204
Lebanon,2021,-0.3066169278338934,-0.2532944,0.05332251951251277
Lesotho,2019,-0.3881622412168124,0.02116273,0.4093249709271529
Lesotho,2020,-0.38638883477102787,-0.21456148,0.17182735746752292
Lesotho,2021,-0.3880369259498017,-0.20797187,0.18006505505060127
Liberia,2019,-0.3849770680197677,0.13646677,0.5214438393839798
Liberia,2020,-0.3808657300762492,-0.2307498,0.15011592927497203
Liberia,2021,-0.3778523789654334,-0.28304332,0.09480905401807621
Libya,2019,-0.38859094719973497,0.11486882,0.5034597669133275
Libya,2020,-0.3883723668598479,-0.26833463,0.12003773970835863
Libya,2021,-0.3891022656453798,-0.16644143,0.2226608399642656
Lithuania,2019,0.04453339222205014,0.068332106,0.02379871365296512
Lithuania,2020,0.14748583725205852,-0.22671917,0.37420500806085066
Lithuania,2021,0.09461447686760517,-0.1640371,0.25865157038776965
Luxembourg,2019,-0.30743232972298906,0.09846702,0.4058993519035463
Luxembourg,2020,-0.306973270300793,-0.31792843,0.010955163117480904
Luxembourg,2021,-0.30675337463380115,-0.14791639,0.1588369831419112
Madagascar,2019,-0.3724424984488441,0.1368081,0.5092505958113624
Madagascar,2020,-0.37184336267652396,-0.30208886,0.06975450597944144
Madagascar,2021,-0.3686730617410866,-0.11143723,0.25723583043882525
Malawi,2019,-0.26941130996770124,0.012733325,0.28214463532990675
Malawi,2020,-0.2912211763015377,-0.22968706,0.06153411141544457
Malawi,2021,-0.2739207952022647,-0.13443747,0.1394833235740756
Malaysia,2019,1.943614729815415,-0.0048557073,1.9484704371032033
Malaysia,2020,2.2325396338789125,-0.2901362,2.522675822147574
Malaysia,2021,3.2969003070336798,-0.14350933,3.4404096353990057
Maldives,2019,-0.3898524793074052,0.10301511,0.49286758920406504
Maldives,2020,-0.38973566833995876,-0.20087989,0.1888557815935522
Maldives,2021,-0.389850561905995,-0.22607076,0.16377980022539196
Mali,2019,-0.3825563598572282,0.06927681,0.451833169549611
Mali,2020,-0.38486650870455535,-0.18368834,0.2011781661332968
Mali,2021,-0.38339775185732133,-0.0727983,0.31059945504812486
Malta,2019,-0.3850551409790621,0.095371425,0.4804265661308871
Malta,2020,-0.3851930929647335,-0.2811857,0.10400740637644612
Malta,2021,-0.3854832979112686,-0.08309454,0.3023887606531204
Marshall Islands,2019,-0.34616362611485446,0.113190755,0.4593543813629242
Marshall Islands,2020,-0.34616362611485446,-0.261218,0.08494561473561252
Marshall Islands,2021,-0.34616362611485446,-0.15441737,0.191746260325441
Mauritania,2019,-0.38975425054238566,0.11559661,0.5053508578698469
Mauritania,2020,-0.38978585431210594,-0.20990106,0.17988478967778282
Mauritania,2021,-0.3897795872659266,-0.14188385,0.24789573716827035
Mauritius,2019,-0.3530111591569609,0.048072148,0.40108330727140373
Mauritius,2020,-0.3550595219912325,-0.22555402,0.1295055027785097
Mauritius,2021,-0.3576760069293407,-0.110541366,0.24713464088863407
Mexico,2019,3.2381690172997626,0.040019237,3.198149780794731
Mexico,2020,3.240127334106166,-0.2760026,3.516129919994075
Mexico,2021,3.588684306323801,-0.082587525,3.6712718315723287
Mongolia,2019,-0.3889123830404263,0.026195921,0.4151083040442448
Mongolia,2020,-0.38937113971503123,-0.12366647,0.26570466698201045
Mongolia,2021,-0.3747766823761144,-0.17134663,0.20343004774972584
Montenegro,2019,-0.3876150651412268,0.08195323,0.4695682926612158
Montenegro,2020,-0.38737941462642983,-0.24428402,0.14309539575226143
Montenegro,2021,-0.38602486374900824,-0.2344933,0.15153156343029028
Morocco,2019,0.21282803969473119,0.10187297,0.11095506655067677
Morocco,2020,0.2346978466307259,-0.24693614,0.4816339890753365
Morocco,2021,0.35087482128130376,-0.18373156,0.5346063772200245
Mozambique,2019,-0.27699184282010025,0.14620136,0.4231932000655455
Mozambique,2020,-0.3241102771689353,-0.28561574,0.038494534962361826
Mozambique,2021,-0.29328270780080234,-0.13711551,0.15616719948285496
Myanmar,2019,0.1186979074825217,-0.031051263,0.14974917069567933
